semantics_id,sentence_id,hanji,lomaji,mandarin
982,46307,"""伊的成績中等，毋是蓋䆀。""","""I ê sîng-tsik tiong-tíng, m̄ sī kài bái.""","""他的成績中等，不會太差。"""
983,46308,"""伊佮烏道勾結。""","""I kah oo-tō kau-kiat.""","""他和黑道勾結。"""
984,46309,"""你莫見講攏是一寡不答不七的話。""","""Lí mài kiàn kóng lóng sī tsi̍t-kuá put-tap-put-tshit ê uē.""","""你別老說一些不三不四的話。"""
988,46310,"""伊決定欲公開所有的代誌。""","""I kuat-tīng beh kong-khai sóo-ū ê tāi-tsì.""","""他決定要公開所有的事情。"""
989,46311,"""伊公開展覽伊的私人花園。""","""I kong-khai tián-lám i ê su-jîn hue-hn̂g.""","""他把他的私人花園公開展覽。"""
990,46312,"""年節時仔，庄頭做戲的錢攏是規庄頭公開的。""","""Nî-tseh-sî-á, tsng-thâu tsò-hì ê tsînn lóng sī kui tsng-thâu kong-khui--ê.""","""過年過節的時候，村莊裡頭請戲班子來演戲的錢都是大家一起分攤的。"""
997,46313,"""這个是內媽，外媽蹛佇宜蘭。""","""Tsit ê sī lāi-má, guā-má tuà tī Gî-lân.""","""這個是奶奶，外祖母住在宜蘭。"""
998,46314,"""拜公媽""","""pài kong-má""","""祭拜祖先"""
999,46315,"""一人一家代，公媽隨人祀。""","""Tsi̍t lâng tsi̍t ke tāi, kong-má suî-lâng tshāi.""","""一人一個家庭，祖先牌位各自供奉；謂兄弟分家後，各管各的事，互不相干。"""
1000,46316,"""就算講你無中意，阮嘛無法度。""","""Tō-sǹg kóng lí bô tìng-ì, guán mā bô-huat-tōo.""","""就算你不滿意，我們也沒辦法。"""
1004,46317,"""不義之財""","""put-gī tsi tsâi""","""不義之財"""
1006,46318,"""我這領衫的內裡破去矣。""","""Guá tsit niá sann ê lāi-lí phuà--khì--ah.""","""我這件衣服的裡子破掉了。"""
1007,46319,"""代誌做猶未一半，袂當勼跤。""","""Tāi-tsì tsò iáu-buē tsi̍t-puànn, bē-tàng kiu-kha.""","""事情做不到一半，不能就此縮手。"""
1008,46320,"""臺北車頭內面五路的人攏有。""","""Tâi-pak Tshia-thâu lāi-bīn ngóo-lōo ê lâng lóng ū.""","""臺北車站裡面有各地來的人。"""
1010,46321,"""里長伯仔做人真公道。""","""Lí-tiúnn peh--á tsò-lâng tsin kong-tō.""","""里長伯做人很公正。"""
1011,46322,"""價錢真公道。""","""Kè-tsînn tsin kong-tō.""","""價錢很合理。"""
